iso,t_s,wm_hat_hz,iq,iq_shed
14:54:46.076,1789386886.077,41.464,35.756,1.0
14:54:46.116,1789386886.117,41.946,34.608,1.0
14:54:46.156,1789386886.157,41.436,35.63,1.0
14:54:46.196,1789386886.197,40.69,36.36,1.0
14:54:46.236,1789386886.237,42.022,35.012,1.0
14:54:46.276,1789386886.277,41.394,35.938,1.0
14:54:46.316,1789386886.317,42.254,33.68,1.0
14:54:46.356,1789386886.357,41.84,34.744,1.0
14:54:46.396,1789386886.397,41.748,34.034,1.0
14:54:46.436,1789386886.437,42.196,35.068,1.0
14:54:46.476,1789386886.477,40.322,36.08,1.0
14:54:46.516,1789386886.517,42.85,32.998,1.0
14:54:46.556,1789386886.557,41.512,34.27,1.0
14:54:46.596,1789386886.597,42.364,33.806,1.0
14:54:46.636,1789386886.637,40.798,36.314,1.0
14:54:46.676,1789386886.677,41.398,35.346,1.0
14:54:46.716,1789386886.717,42.622,32.788,1.0
14:54:46.756,1789386886.757,41.698,34.492,1.0
14:54:46.796,1789386886.797,40.718,35.412,1.0
14:54:46.836,1789386886.837,41.54,35.004,1.0
14:54:46.876,1789386886.877,42.074,33.242,1.0
14:54:46.916,1789386886.917,41.826,33.042,1.0
14:54:46.956,1789386886.957,40.756,35.372,1.0
14:54:46.996,1789386886.997,41.428,34.658,1.0
14:54:47.036,1789386887.037,42.538,33.9,1.0
14:54:47.076,1789386887.077,41.04,33.834,1.0
14:54:47.116,1789386887.117,41.734,33.998,1.0
14:54:47.156,1789386887.157,41.01,34.926,1.0
14:54:47.196,1789386887.197,42.606,32.692,1.0
14:54:47.236,1789386887.237,41.134,34.672,1.0
14:54:47.276,1789386887.277,41.108,35.196,1.0
14:54:47.316,1789386887.317,42.302,31.89,1.0
14:54:47.356,1789386887.357,41.364,34.722,1.0
14:54:47.396,1789386887.397,41.042,34.872,1.0
14:54:47.436,1789386887.437,42.312,32.522,1.0
14:54:47.476,1789386887.477,41.778,34.148,1.0
14:54:47.516,1789386887.517,41.248,33.4,1.0
14:54:47.556,1789386887.557,42.22,32.226,1.0
14:54:47.596,1789386887.597,40.79,34.626,1.0
14:54:47.636,1789386887.637,42.262,33.028,1.0
14:54:47.676,1789386887.677,41.352,34.21,1.0
14:54:47.716,1789386887.717,41.008,35.306,1.0
14:54:47.756,1789386887.757,41.888,32.728,1.0
14:54:47.796,1789386887.797,41.714,34.172,1.0
14:54:47.836,1789386887.837,41.016,34.27,1.0
14:54:47.876,1789386887.877,40.842,33.938,1.0
14:54:47.916,1789386887.917,42.442,33.55,1.0
14:54:47.956,1789386887.957,41.35,33.23,1.0
14:54:47.996,1789386887.997,41.506,34.528,1.0
14:54:48.036,1789386888.037,41.218,34.144,1.0
14:54:48.076,1789386888.077,42.01,33.244,1.0
14:54:48.116,1789386888.117,41.348,33.94,1.0
14:54:48.156,1789386888.157,41.302,34.676,1.0
14:54:48.196,1789386888.197,41.878,33.138,1.0
14:54:48.236,1789386888.237,41.608,34.29,1.0
14:54:48.276,1789386888.277,41.128,35.094,1.0
14:54:48.316,1789386888.317,41.882,32.932,1.0
14:54:48.356,1789386888.357,42.046,34.688,1.0
14:54:48.396,1789386888.397,40.506,35.632,1.0
14:54:48.436,1789386888.437,42.726,32.042,1.0
14:54:48.476,1789386888.477,41.366,33.522,1.0
14:54:48.516,1789386888.517,41.5,35.198,1.0
14:54:48.556,1789386888.557,42.276,32.838,1.0
14:54:48.596,1789386888.597,41.724,33.998,1.0
14:54:48.636,1789386888.637,41.3,34.862,1.0
14:54:48.676,1789386888.677,41.598,33.898,1.0
