t_s,clock,VDC,IDC,PDC,VG_A,VG_B,VG_C,IINV_A,IINV_B,IINV_C,STS,MODE,FAULT_FLAGS,FREQ,SET_FREQ,MOD_IDX,TEMP,STOP_REASON,FAULT_UV_CNT,FAULT_OC_CNT,IU_INST,IW_INST
11.288,12:13:09.497,15.963,0.401,6.407,0.000,0.000,0.000,0.073,0.079,0.111,5.000,1.000,0.000,5.000,5.000,0.200,32.981,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
11.400,12:13:09.610,15.963,0.401,6.407,0.000,0.000,0.000,0.073,0.079,0.111,5.000,1.000,0.000,5.000,5.000,0.200,32.981,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
11.512,12:13:09.722,15.963,0.401,6.407,0.000,0.000,0.000,0.073,0.079,0.111,5.000,1.000,0.000,5.000,5.000,0.200,32.981,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
11.624,12:13:09.833,15.967,0.396,6.315,0.000,0.000,0.000,0.075,0.076,0.110,5.000,1.000,0.000,5.000,5.000,0.200,32.977,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
11.737,12:13:09.946,15.967,0.396,6.315,0.000,0.000,0.000,0.075,0.076,0.110,5.000,1.000,0.000,5.000,5.000,0.200,32.977,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
11.848,12:13:10.058,15.967,0.396,6.315,0.000,0.000,0.000,0.075,0.076,0.110,5.000,1.000,0.000,5.000,5.000,0.200,32.977,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
11.960,12:13:10.169,15.950,0.449,7.155,0.000,0.000,0.000,0.084,0.099,0.147,5.000,1.000,0.000,5.000,5.000,0.200,32.972,5.000,98.0,47.0,-0.05128205195069313,-0.05128205195069313
12.072,12:13:10.474,15.950,0.449,7.155,0.000,0.000,0.000,0.084,0.099,0.147,5.000,1.000,0.000,5.000,5.000,0.200,32.972,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
12.375,12:13:10.585,15.957,0.379,6.040,0.000,0.000,0.000,0.088,0.096,0.148,5.000,1.000,0.000,5.000,5.000,0.200,32.987,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
12.487,12:13:10.697,15.957,0.379,6.040,0.000,0.000,0.000,0.088,0.096,0.148,5.000,1.000,0.000,5.000,5.000,0.200,32.987,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
12.599,12:13:10.808,15.957,0.379,6.040,0.000,0.000,0.000,0.088,0.096,0.148,5.000,1.000,0.000,5.000,5.000,0.200,32.987,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
12.712,12:13:10.922,15.957,0.379,6.040,0.000,0.000,0.000,0.088,0.096,0.148,5.000,1.000,0.000,5.000,5.000,0.200,32.987,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
12.824,12:13:11.034,15.945,0.424,6.760,0.000,0.000,0.000,0.086,0.096,0.145,5.000,1.000,0.000,5.000,5.000,0.200,32.982,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
12.935,12:13:11.145,15.945,0.424,6.760,0.000,0.000,0.000,0.086,0.096,0.145,5.000,1.000,0.000,5.000,5.000,0.200,32.982,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
13.048,12:13:11.258,15.945,0.424,6.760,0.000,0.000,0.000,0.086,0.096,0.145,5.000,1.000,0.000,5.000,5.000,0.200,32.982,5.000,98.0,47.0,-0.10256410390138626,-0.10256410390138626
